Blocks	Pathways
MED12*PIK3CD*FOXO3*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3CD*NFKB1*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3CD*RELA*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3CD*NFKB1*BIRC5	hsa04919-hsa04926-TFTG
MED12*PIK3CD*RELA*BIRC5	hsa04919-hsa04926-TFTG
MED12*PIK3R2*FOXO3*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3R2*NFKB1*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3R2*RELA*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3R2*NFKB1*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3R2*RELA*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3R2*NFKB1*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3R2*RELA*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3R2*NFKB1*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3R2*RELA*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3R2*FOXO3*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3R2*NFKB1*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3R2*RELA*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3R2*NFKB1*BIRC5	hsa04919-hsa04926-TFTG
MED12*PIK3R2*RELA*BIRC5	hsa04919-hsa04926-TFTG
MED12*CTNNB1*BIRC5	hsa04919-TFTG
MED12*CTNNB1*TCF7*BIRC5	hsa04919-TFTG-hsa04390
MED12*HIF1A*RASSF1*BIRC5	hsa04919-TFTG-hsa04390
MED12*HIF1A*WNT2B*BIRC5	hsa04919-TFTG-hsa04390
MED12*HIF1A*YWHAG*BIRC5	hsa04919-TFTG-hsa04390
MED12*MYC*ACTG1*BIRC5	hsa04919-TFTG-hsa04390
MED12*MYC*CTSC*BIRC5	hsa04919-TFTG-hsa04210
MED12*MYC*CTSF*BIRC5	hsa04919-TFTG-hsa04210
MED12*MYC*GSK3B*BIRC5	hsa04919-TFTG-hsa04390
MED12*MYC*PPP1CB*BIRC5	hsa04919-TFTG-hsa04390
MED12*MYC*PPP2CA*BIRC5	hsa04919-TFTG-hsa04390
MED12*MYC*PPP2R1B*BIRC5	hsa04919-TFTG-hsa04390
MED12*MYC*WNT10B*BIRC5	hsa04919-TFTG-hsa04390
MED12*MYC*YWHAE*BIRC5	hsa04919-TFTG-hsa04390
MED12*MYC*YWHAH*BIRC5	hsa04919-TFTG-hsa04390
MED12*PIK3R3*JUN*MGP	hsa04919-hsa04926-TFTG
MED12*CTNNB1*JUN*MGP	hsa04919-hsa04310-TFTG
MED12*PIK3R1*JUN*MGP	hsa04919-hsa04926-TFTG
MED12*PIK3CB*JUN*MGP	hsa04919-hsa04926-TFTG
MED12*PIK3CA*JUN*MGP	hsa04919-hsa04926-TFTG
MED12*WNT4*JUN*MGP	hsa04919-hsa04310-TFTG
MED12*PIK3CD*JUN*MGP	hsa04919-hsa04926-TFTG
MED12*PIK3R2*JUN*MGP	hsa04919-hsa04926-TFTG
MED12*CTNNB1*MYC*RBBP8	hsa04919-hsa04310-TFTG
MED12*CTNNB1*MYC*RBBP8	hsa04919-hsa04390-TFTG
MED12*ACTG1*MYC*RBBP8	hsa04919-hsa04390-TFTG
MED12*ACTB*MYC*RBBP8	hsa04919-hsa04390-TFTG
MED12*WNT4*MYC*RBBP8	hsa04919-hsa04310-TFTG
MED12*WNT4*MYC*RBBP8	hsa04919-hsa04390-TFTG
MED12*WNT4*MYC*RBBP8	hsa04919-hsa04550-TFTG
MED12*MYC*ATM*RBBP8	hsa04919-TFTG-hsa03440
MED12*MYC*BRCA1*RBBP8	hsa04919-TFTG-hsa03440
MED12*MYC*RBBP8	hsa04919-TFTG
MET*RAC1*MYC*UBE2C	hsa04014-hsa04010-TFTG
MET*MAPK8*MYC*UBE2C	hsa04014-hsa04010-TFTG
