BlockName	Pathway	Length	Genes
hsa04010_GADD45A_ATF4	hsa04010	5	ATF4*GADD45A*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*MAPKAPK2*MAPKAPK3*RPS6KA4*RPS6KA5
hsa04010_GADD45A_ELK1	hsa04010	4	ELK1*GADD45A*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45A_FOS	hsa04010	5	ELK1*ELK4*FOS*GADD45A*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45A_MAX	hsa04010	4	GADD45A*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*MAX
hsa04010_GADD45A_TP53	hsa04010	4	GADD45A*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_GADD45B_ATF4	hsa04010	5	ATF4*GADD45B*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*MAPKAPK2*MAPKAPK3*RPS6KA4*RPS6KA5
hsa04010_GADD45B_ELK1	hsa04010	4	ELK1*GADD45B*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45B_FOS	hsa04010	5	ELK1*ELK4*FOS*GADD45B*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45B_MAX	hsa04010	4	GADD45B*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*MAX
hsa04010_GADD45B_TP53	hsa04010	4	GADD45B*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_GADD45G_ATF4	hsa04010	5	ATF4*GADD45G*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*MAPKAPK2*MAPKAPK3*RPS6KA4*RPS6KA5
hsa04010_GADD45G_ELK1	hsa04010	4	ELK1*GADD45G*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45G_FOS	hsa04010	5	ELK1*ELK4*FOS*GADD45G*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_GADD45G_MAX	hsa04010	4	GADD45G*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*MAX
hsa04010_GADD45G_TP53	hsa04010	4	GADD45G*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_GNA12_MAPT	hsa04010	6	ARAF*BRAF*GNA12*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPT*MRAS*NRAS*RAF1*RASA2*RRAS*RRAS2
hsa04010_GNA12_MYC	hsa04010	6	ARAF*BRAF*GNA12*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MRAS*MYC*NRAS*RAF1*RASA2*RRAS*RRAS2
hsa04010_HRAS_ARRB1	hsa04010	3	ARRB1*HRAS*MAP2K4*MAP3K1
hsa04010_HRAS_ARRB2	hsa04010	3	ARRB2*HRAS*MAP2K4*MAP3K1
