,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
69,hsa04010_HRAS+KRAS_TP53+TP53,hsa04010,HRAS;KRAS,TP53;TP53,hsa04010_HRAS_TP53;hsa04010_KRAS_TP53
70,hsa04010_IL1B_ELK1,hsa04010,IL1B,ELK1,hsa04010_IL1B_ELK1
71,hsa04010_IL1B_FOS,hsa04010,IL1B,FOS,hsa04010_IL1B_FOS
72,hsa04010_IL1B+IL1B+IL1B_NFKB1+NFKB2+RELA,hsa04010,IL1B;IL1B;IL1B,NFKB1;NFKB2;RELA,hsa04010_IL1B_NFKB1;hsa04010_IL1B_NFKB2;hsa04010_IL1B_RELA
73,hsa04010_IL1B_TP53,hsa04010,IL1B,TP53,hsa04010_IL1B_TP53
74,hsa04010_MAP2K1_ATF4,hsa04010,MAP2K1,ATF4,hsa04010_MAP2K1_ATF4
75,hsa04010_MAP2K1_ELK1,hsa04010,MAP2K1,ELK1,hsa04010_MAP2K1_ELK1
76,hsa04010_MAP2K1_ELK4,hsa04010,MAP2K1,ELK4,hsa04010_MAP2K1_ELK4
77,hsa04010_MAP2K1_FOS,hsa04010,MAP2K1,FOS,hsa04010_MAP2K1_FOS
78,hsa04010_MAP2K1_MYC,hsa04010,MAP2K1,MYC,hsa04010_MAP2K1_MYC
79,hsa04010_MAP2K2_ATF4,hsa04010,MAP2K2,ATF4,hsa04010_MAP2K2_ATF4
80,hsa04010_MAP2K2_ELK1,hsa04010,MAP2K2,ELK1,hsa04010_MAP2K2_ELK1
81,hsa04010_MAP2K2_ELK4,hsa04010,MAP2K2,ELK4,hsa04010_MAP2K2_ELK4
82,hsa04010_MAP2K2_FOS,hsa04010,MAP2K2,FOS,hsa04010_MAP2K2_FOS
83,hsa04010_MAP2K2_MYC,hsa04010,MAP2K2,MYC,hsa04010_MAP2K2_MYC
84,hsa04010_MAP2K4+MAP2K4_ARRB1+ARRB2,hsa04010,MAP2K4;MAP2K4,ARRB1;ARRB2,hsa04010_MAP2K4_ARRB1;hsa04010_MAP2K4_ARRB2
85,hsa04010_MAP2K4_ATF4,hsa04010,MAP2K4,ATF4,hsa04010_MAP2K4_ATF4
86,hsa04010_MAP2K4+MAP2K4_CRK+CRKL,hsa04010,MAP2K4;MAP2K4,CRK;CRKL,hsa04010_MAP2K4_CRK;hsa04010_MAP2K4_CRKL
87,hsa04010_MAP2K4_ELK1,hsa04010,MAP2K4,ELK1,hsa04010_MAP2K4_ELK1
88,hsa04010_MAP2K4_ELK4,hsa04010,MAP2K4,ELK4,hsa04010_MAP2K4_ELK4
89,hsa04010_MAP2K4+MAP2K4+MAP2K4_FLNA+FLNB+FLNC,hsa04010,MAP2K4;MAP2K4;MAP2K4,FLNA;FLNB;FLNC,hsa04010_MAP2K4_FLNA;hsa04010_MAP2K4_FLNB;hsa04010_MAP2K4_FLNC
