BlockName	Pathway	Length	Genes
hsa04010_TAB1_NFKB1	hsa04010	3	CHUK*IKBKB*IKBKG*MAP3K14*MAP3K7*NFKB1*TAB1
hsa04010_TAB1_RELA	hsa04010	3	CHUK*IKBKB*IKBKG*MAP3K14*MAP3K7*RELA*TAB1
hsa04010_TAB1_TP53	hsa04010	4	MAP2K3*MAP2K6*MAP3K7*MAPK11*MAPK12*MAPK13*MAPK14*TAB1*TP53
hsa04010_TAB2_NFKB1	hsa04010	3	CHUK*IKBKB*IKBKG*MAP3K14*MAP3K7*NFKB1*TAB2
hsa04010_TAB2_RELA	hsa04010	3	CHUK*IKBKB*IKBKG*MAP3K14*MAP3K7*RELA*TAB2
hsa04010_TAB2_TP53	hsa04010	4	MAP2K3*MAP2K6*MAP3K7*MAPK11*MAPK12*MAPK13*MAPK14*TAB2*TP53
hsa04010_TNF_JUN	hsa04010	7	CASP3*JUN*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TNF*TNFRSF1A*TRADD*TRAF2
hsa04010_TNF_MYC	hsa04010	7	CASP3*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC*TNF*TNFRSF1A*TRADD*TRAF2
hsa04010_TNF_NFKB1	hsa04010	6	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*NFKB1*TNF*TNFRSF1A*TRADD*TRAF2
hsa04010_TNF_RELA	hsa04010	6	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*RELA*TNF*TNFRSF1A*TRADD*TRAF2
hsa04010_TNF_TP53	hsa04010	7	CASP3*MAP2K3*MAP2K4*MAP2K6*MAP3K1*MAP3K5*MAPK10*MAPK11*MAPK12*MAPK13*MAPK14*MAPK8*MAPK9*TNF*TNFRSF1A*TP53*TRADD*TRAF2
hsa04010_TRAF2_JUN	hsa04010	4	JUN*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TRAF2
hsa04010_TRAF2_MYC	hsa04010	4	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC*TRAF2
hsa04010_TRAF2_NFKB1	hsa04010	3	CHUK*IKBKB*IKBKG*MAP3K1*NFKB1*TRAF2
hsa04010_TRAF2_RELA	hsa04010	3	CHUK*IKBKB*IKBKG*MAP3K1*RELA*TRAF2
hsa04010_TRAF2_TP53	hsa04010	4	MAP2K3*MAP2K4*MAP2K6*MAP3K1*MAP3K5*MAPK10*MAPK11*MAPK12*MAPK13*MAPK14*MAPK8*MAPK9*TP53*TRAF2
hsa04012_ERBB2_ELK1	hsa04012	7	ARAF*BRAF*ELK1*ERBB2*GRB2*HRAS*KRAS*MAP2K1*MAP2K2*MAPK1*MAPK3*NRAS*RAF1*SOS1*SOS2
